Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,BHR,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.72796699,32.95957422,31.08680396,29.44815783,30.9462927,30.64136055,30.14966872,29.9147146,27.49450867,27.8310464,31.11239818,29.4037492,29.9423928,31.88862958,34.46669582,38.00893276,40.13223618,42.36973815,46.2931629,40.03095342,44.29908942,47.52087704,46.61871903,47.93040436,48.71502064,49.41069477,50.18037629,49.387299,50.63054726,48.16249885,45.55511269,49.40036129,49.41068567,45.60622024,44.20213929,43.09572712
"Bahamas, The",BHS,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.14857529,97.36507949,98.91363862,95.80013608,95.84531654,94.63031041,93.843647,94.03112941,95.82142259,99.16223971,97.86048605,96.04347969,98.31937915,97.52931348,96.11029637,97.90003007,95.75781797,95.98036941,95.56782882,93.99762344,92.50442716,89.85634446,91.99780322,91.24680426,91.83968254,95.58718135,94.83126699,92.97978282,92.66082644,93.14524531,96.22905254,97.7568686,95.02954831,97.72363827,95.63156555,
Bosnia and Herzegovina,BIH,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.7147178,173.3439743,140.081585,107.2624855,32.68647677,41.03371115,39.00520792,36.98448943,35.16183209,36.036135,32.26854425,32.2267593,34.44054939,41.36377733,45.35751766,45.99882212,46.09273629,51.15055109,56.38526564,52.19411594,49.5993283,51.04443114,46.37614582,46.58061035,46.61653399,39.3590345,38.20758595,39.22350455,40.70260317,37.26631119,37.44859274,39.89434478,35.35858203,37.05899007,37.37038584,40.21747825
Belarus,BLR,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.69129738,33.87475454,33.72067436,34.25036017,34.84236426,35.64234035,35.3342084,30.38064231,29.86021116,22.70712684,22.02147372,19.94795626,22.08969039,24.71604643,28.03677209,32.43859173,35.00103831,38.43727143,45.9175814,38.13891407,39.34180552,39.41061382,38.38427572,42.06404713,43.81431133,32.90619929,28.26177967,31.41970367,31.75893019,30.66047041,26.30578613,27.12567488,28.12542147,25.58930131,25.94678353,29.6095785
Belize,BLZ,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85463364,63.1366889,63.84650765,63.53457268,63.83847023,65.83330759,66.42297228,64.30745509,65.14581117,63.1701876,62.65473384,60.09939569,59.59113191,56.04450124,55.74648273,55.67647704,55.75136228,56.34869656,57.26083276,55.50655099,56.0269292,57.56141543,61.6191758,62.53889666,64.57510241,64.52477447,65.33507643,66.57258272,63.30253482,58.77749324,54.3479383,52.43101716,52.51636155,54.0327889,53.46317801,52.55652582
Bermuda,BMU,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.34033812,89.91604712,90.38640329,92.88156139,92.72184338,94.61246316,120.1946459,122.9116151,124.8778408,126.4749717,118.434274,114.2403387,122.1445454,123.1631818,125.5656048,129.9813164,132.8730829,137.8739857,142.1784825,142.781584,144.221789,139.6796823,144.9238903,142.2048652,140.2467377,138.0702972,135.2374123,131.1136246,131.666863,127.2723317,125.6383657,122.1463203,114.3551828,117.0478001,119.8120622,
Bolivia,BOL,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.88936162,30.14917178,30.63144669,29.15887369,28.44878682,29.88560304,30.97701164,31.08861209,31.38254978,30.04281392,29.04880719,27.0858818,25.27007097,24.66658718,25.02986679,25.29611883,28.08189466,29.95676969,35.18865811,35.18797696,37.83498283,42.97143289,43.89987272,43.55336665,43.15805385,41.89029913,40.22141208,38.85075601,39.10295525,38.1919099,37.37575928,35.80255895,34.29123886,33.13020783,34.28233997,39.98908591
Brazil,BRA,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59407314,32.87797904,30.96796414,32.35380278,42.68937156,58.74768932,62.3943958,61.60936036,59.37907168,40.4601076,41.42811279,34.14026715,29.69804002,31.53049329,34.80831895,43.56713215,50.50107596,58.47061208,66.25637134,64.81117609,78.9060777,88.06736459,82.39011859,79.24327006,77.55579055,60.29237126,61.75245807,69.23878997,60.14495886,56.19119034,43.93467569,44.1063638,46.70157958,48.96689451,46.0890724,45.71823161
Barbados,BRB,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.32942866,82.20538587,82.54338238,84.34472541,84.40636801,83.5130538,84.09341152,83.42582677,89.67872246,92.34774809,89.61113168,89.61437363,89.04420112,88.29460694,90.99364576,94.11007332,95.0344621,100.4963719,100.3782785,97.93759201,100.4618561,100.9443521,106.1162818,107.2389,108.5927228,106.4563806,105.8407495,110.0221872,108.1113338,109.719193,115.9412384,119.2101717,111.1196583,110.3894944,109.6072159,109.5426087
Brunei Darussalam,BRN,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.70151998,32.95999673,33.49373443,32.27836769,32.62690086,37.54010246,36.69918778,34.49885865,26.03290533,27.98372259,27.54289547,24.62878275,24.23442784,25.96676636,30.3755637,36.04166183,40.26600065,43.27385803,52.38355402,39.69676886,43.92303156,56.06165223,53.82847527,52.86469559,50.50936455,48.83780943,47.04220853,45.45156797,47.56512241,43.87160578,38.45127148,39.62612176,44.78967313,38.6480738,36.83314515,34.87468198
Bhutan,BTN,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.36349993,26.2477337,24.52792179,22.09880602,23.62493573,24.24283036,23.55475111,25.51044645,24.57765154,24.6567183,24.796455,24.32949058,24.45662529,25.93377508,27.08886541,28.73858084,28.92035036,32.29957994,31.80660477,29.66852893,33.61380392,35.13314921,32.07511063,30.92165461,30.5629027,28.92201513,27.96265493,29.41822538,28.40709054,27.70820273,25.58442316,26.52992257,24.64128135,23.60859822,23.8033697,22.92938324
Botswana,BWA,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.53828516,43.57382615,43.53285911,41.86288349,40.49526379,41.1592471,39.13858828,36.78183405,34.55490032,35.56880262,35.99387189,33.30115589,30.62940001,39.64895394,44.82973851,46.03468213,42.12050097,41.29684054,39.84744595,43.49523843,48.73820053,53.44448016,51.78420498,48.94529797,47.47192189,43.42008471,41.58866612,45.25263095,46.92793642,44.93786058,41.3496532,43.47224973,41.69844453,37.22071072,37.11255112,37.57922869
Central African Republic,CAF,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.86127263,75.19309038,80.53508312,71.01405431,44.1180044,52.82230178,48.82153343,42.41022523,41.32043881,40.63471917,37.37735311,35.59774823,36.12995554,42.95077232,43.95273284,44.40818634,44.92777408,48.62250606,54.81686661,52.03426218,50.92164142,54.48532651,51.25809253,51.32988317,58.63687387,47.64426117,46.87287757,48.91590571,50.25778566,45.61421301,43.41023997,43.61898939,38.38190186,39.42189651,40.80528244,42.32752235
Canada,CAN,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4268941,108.0460854,101.6054439,94.18905511,88.38957235,88.09516176,88.53480015,86.69124657,79.86963263,80.15144376,82.70129958,78.77408316,78.33639202,87.4867604,94.74273636,100.1521703,106.2466502,112.8551345,115.68791,105.1761876,118.5959515,125.3367475,124.5398147,118.8191054,111.3701013,97.59582927,91.05546112,93.40245924,93.11075502,91.78972659,89.60120834,92.79156495,87.97808761,84.42993589,84.01532077,83.44741276
Central Europe and the Baltics,CEB,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1395767,137.436053,139.9416868,133.116608,142.4739343,162.5940803,152.6860032,127.0607042,126.0589047,120.0130475,105.9130744,104.8009599,109.6984473,127.3597683,136.0480901,135.4439447,127.5209762,127.6061313,137.8495984,135.1075269,140.5991046,157.3684528,144.4059306,141.5980123,139.9071697,128.374893,121.977962,120.619077,120.5528267,114.0911172,117.6717054,115.6335086,103.3598039,111.1879932,110.5002134,111.9551897
Channel Islands,CHI,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.97450605,57.27835234,60.25043828,58.42314751,61.95776776,70.2676489,67.55377384,67.4697913,61.24039018,55.81664323,53.89479253,46.68396046,43.72729132,44.57638491,52.70721025,59.60210486,60.07861962,61.96379033,65.23718738,63.31009018,70.50421038,71.99891023,71.33661257,70.64322312,64.42282517,59.79051722,58.69262327,61.24622998,61.88273052,56.59789859,51.73321006,55.71301431,49.8047848,51.49141254,46.18395585,47.63739429
China,CHN,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14876316,30.23618908,28.82365579,25.75583961,28.3110489,32.52375053,34.17019953,34.24479407,33.62752013,32.7553859,32.70527464,32.6948238,32.40404864,32.61741526,33.98177211,34.52939265,35.80780844,39.4315104,45.68261308,46.14247811,49.18932987,54.54598746,56.08507613,58.44632668,60.12446754,60.72294846,58.30841243,59.77509784,61.88205251,58.76350859,58.17696125,61.83011837,56.32426252,51.39342553,48.98066409,47.25672026
Cote d'Ivoire,CIV,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.90929595,45.96179798,47.8829449,46.41395313,33.92779229,41.0451309,41.28968061,36.96959801,38.11798974,35.73489276,30.77837316,31.19563349,33.91730242,41.09297928,42.90373298,42.14710532,41.82546784,45.82081647,50.83610644,48.49330139,46.2290876,50.27294944,47.00930421,49.35478811,48.87728459,41.20948417,41.11102355,41.88112467,43.08588106,38.82553894,39.3179644,40.62693251,34.73116525,35.78508057,35.51773665,37.15599756
Cameroon,CMR,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41075622,58.40855634,60.08682317,76.70394249,41.98650889,48.02650892,46.20840237,42.26640981,41.79233219,39.05806608,33.60529112,32.65650964,34.89193778,41.73137867,44.75132416,43.98634501,44.05554334,47.04766297,51.98304589,50.76118939,47.99637656,50.65416934,47.36170499,48.65677379,48.19747105,40.45561386,39.74966757,39.7111354,40.15934561,36.67025763,35.6344652,34.88697065,30.93348639,31.77105036,32.69563319,34.07794051
"Congo, Dem. Rep.",COD,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57427694,31.07100022,29.01252896,42.62046351,23.60657892,22.26303088,22.58985026,24.83053544,25.48026844,19.88629274,84.63533801,32.9461787,36.97775619,35.17059521,36.96975999,41.3574769,46.87081018,49.87330295,56.32397153,45.59157483,53.84904492,57.86497551,63.28038406,60.52329029,56.92349707,54.46291451,48.39518372,43.51670411,49.4028891,47.71989407,44.67583444,42.48068956,43.2563924,38.11740681,38.00232469,42.02346831
"Congo, Rep.",COG,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35784341,34.35872318,35.24155867,31.81607128,21.72651907,24.47402289,27.67057566,25.02410852,20.02125758,24.47825001,30.50085124,24.89751629,25.43358064,28.56783419,35.73426587,42.04447194,45.84856253,52.00738128,63.66636719,47.30678489,57.49302996,65.62378607,61.60923801,63.37853368,62.81390273,51.73451551,52.1185683,49.75956647,48.17344569,43.50697192,41.78582073,40.17367937,39.43218826,36.14361104,35.44215731,34.69342938
Colombia,COL,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.71395284,33.83560739,37.77216221,39.82331116,45.30880888,47.76177182,48.2698097,50.36328732,45.70686312,41.18896843,37.70710836,35.66016754,34.16781356,31.15631863,35.63596571,40.98588125,41.40066263,48.13590072,53.76735573,50.64913843,59.01872809,63.21604468,67.0515816,64.78228507,61.30277857,46.86835352,42.48884643,44.99483369,44.73250895,39.99943819,34.40695148,35.79698191,32.03435364,32.95073247,35.43359534,37.81564118
Comoros,COM,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.40488243,60.06213102,59.60934055,55.63777652,41.75337328,48.30431307,47.64442742,41.46710844,41.12201545,40.3498769,36.38343626,37.05784219,39.99829118,49.23661347,52.95607552,51.14475128,53.05309777,59.21840818,64.3105621,61.21237465,58.44569721,61.95670341,55.6357058,56.60407067,55.00104424,45.07145148,43.49989122,42.53751438,46.62395922,45.86111422,46.82279453,46.03391788,41.3182564,44.23965224,45.89654996,48.50477716
Cabo Verde,CPV,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24528152,79.77205065,78.51176846,96.87233701,65.97694163,67.79306539,65.52117538,56.65257863,52.96727723,53.30193943,44.53171507,44.48564349,45.8633578,56.5833947,56.8693875,54.21293458,55.48191676,59.72183252,65.02654314,62.02221323,59.27646807,62.68594406,59.1449674,62.20828925,62.11174669,50.41808995,49.09654513,49.05761829,54.25387327,50.66972669,51.64811381,51.67504832,45.60663891,46.77680843,46.2256094,47.64759263
Costa Rica,CRI,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.37348662,43.46368487,46.27096252,47.04983571,48.33727844,50.17404456,49.03461979,49.36423754,49.44967144,48.7699882,48.38840698,48.65804225,48.07807241,47.0850874,47.31293787,47.51026192,48.67439101,51.83046112,55.62399665,55.66869789,63.93925266,68.13731193,70.01646041,70.9242744,66.55864733,66.84517378,62.96839145,60.08528931,58.56465177,55.20523468,56.08200692,53.82198776,51.95515032,58.6051481,59.75276955,59.0573265
